,Sentence
3642,no other what should be valid circle pacific itineraries can be booked either always makes all us dest invalid  last leg 
3643,how can your app show arriving aircraft is early but departing flight is delayed due to late flight arriving aircraft _questionmark_  
3644,are there any travel advisories for toronto on today _questionmark_ i can not access anything regarding international travel on your website 
3645,had to fly mo it cme for  i i we clint reach swa to reroute swa  cancelled flightlation voucher old help 
3646,has been showing the same tone deaf video for all these years about how wifi is coming _exclamation_ hah not before i leave few 
3647,what kind of hypocrisy is that _questionmark_ only cancelled fighting tickets with bad exchange rate if in your advantage 
3648,stop this our fleet is on fleek 
3649,hey flight  in dew stuck at gate with no gate agent plane full of people missing connections 
3650,how are you even still in business _questionmark_ i have been trying to call for hours this is pathetic 
3651,an already pleasant flight from london to charlotte  was made fantastic by an amazing attendant thank you so much robert _exclamation_  
3652,thank you for incredible customer sec from gate to flight mint experience is magic 
3653,i don i know no one would tell me where they were coming from i would guess so as that is where we had all the changes to flights 
3654,where is our luggage 
3655,wasn i just a delay your counter wouldn i take a valid cac card as a valid id which is needed for a tsa recheck on pass 
3656,stuck at gate miami to jak flight  are we going to get out of here tonight _questionmark_ very frustrating 
3657,sadly your words don i represent your company i actions talk is cheap 
3658, his and counting today alone like i don i have other things to accomplish today than to just keep holding _exclamation_ _exclamation_ _exclamation_  
3659,10:51 for bags from flight  _exclamation_ _exclamation_ _exclamation_  
3660,please help we really want to fly with you 
3661,i wanna be grand staff 
3662,done _exclamation_ thank you for the quick response apparently faster than sitting on hold 
3663,horrible cust service exp at dia today wife waited  his on the plane i i flight  was cancelled lighted still waiting for bags 
3664,definately not an award for employer of the year 
3665,cancelled lighted my flight without explanation and won i pick up the phone  minutes and counting 
3666,russ please contact reservations at    for relight booking problems options i good luck with that _exclamation_  
3667,nick on flight  was awesome please reward him in some way _exclamation_ _exclamation_ _exclamation_ he has kept us smiling on a bad day of travel 
3668, hour delay while sitting on the plane and you still wanna charge me for beer _questionmark_ nah i am good 
3669,   he mechanical delay all i get is  voucher _questionmark_ will tweet when i book next trip not on ua 
3670,i think problem resolution should be decided on your end especially if you i like me to continue flying your airline 
3671,no they are not i just called to check 
3672,the late flights  earlier  
3673,this is not a fair set up i payed for a full seat i should get access to a full seat 
3674,your  staff are refusing to allow a woman to board she was here at  for 8:16 departure sign still now boarding 
3675,yes after landing at  last night spoke to  baggage claim customer service reps finally spoke to one amazing ticket agent 
3676,where the heck are the bags for chicago  it has been an hour 
3677,thank you _exclamation_ _exclamation_ _exclamation_  
3678,well for a start it would be nice if your ticket was actually in the system when you change a flight 
3679,i saw an american  in old colours at on saturday _exclamation_ was surprised to see _exclamation_  
3680,what is the policy behind changing passengers seating assignments at the gate _questionmark_  
3681,i have sent the message let me know if you got it i am not very twitter literate also is he really going to be stuck for  _questionmark_  
3682,seat ad on flight  last night is the worst seat i have ever been in no leg room _exclamation_  
3683,on hold for  hours now have been calling since monday _exclamation_ i have a flight today need help now _exclamation_ _exclamation_ _exclamation_  
3684,are u paying incidentals _questionmark_  
3685,did somebody say flight upgrade _questionmark_  
3686,sure please follow me so i can do so _questionmark_  
